Sentiment,N Trades,Median PnL/Trade,Mean PnL/Trade,Win Rate %,Median Size USD,Avg Fee
Extreme Fear,10400,6.374712499999999,72.18256638019231,76.2,834.9749999999999,1.1716404278846155
Fear,29845,6.297645,111.81106804640643,87.1,749.79,1.5712134183280282
Neutral,18189,4.532,71.05140655616033,82.1,554.99,1.220875428060916
Greed,25306,4.7754815,83.09311006476725,76.3,554.99,1.1874542325930608
Extreme Greed,20847,8.523515,130.19607714673575,89.1,435.97,0.6546287794406869
